show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type,url,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
81213894,The Zoya Factor,Abhishek Sharma,"Sonam Kapoor, Dulquer Salmaan, Sanjay Kapoor, Sikander Kher, Angad Bedi, Koel Purie, Pooja Bhamrah, Manu Rishi Chadha",India,30-Nov-19,2019,TV-14,135 min,"Comedies, Dramas, International Movies","A goofy copywriter unwittingly convinces the Indian cricket team that she’s their lucky mascot, to the dismay of their superstition-shunning captain.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABSNwXJvn4a94JL7bg9JQn3uZoJTHWMs2AOu4QQENLcuJVezUwdcZa0UkVWhPU1HhaCgw7_QnLO_8dJD3mpgd_7xANEPI.jpg?r=31d,81015498,80990221,80198635,81037898,70241088,70039168,70222860,81030789,81012402,80236236
81082007,Atlantics,Mati Diop,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium",29-Nov-19,2019,TV-14,106 min,"Dramas, Independent Movies, International Movies","Arranged to marry a rich man, young Ada is crushed when her true love goes missing at sea during a migration attempt – until a miracle reunites them.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABdRUzV3A0jy0KjozvfiXCvl6XQhHVixXfcykpPyDC7x4Ii1LiOhbnCId7Pm3MKboyhd3QJSRnsd-RXy3-bdbmMbyEShx.jpg?r=411,80211380,81025404,81082007,81165770,80244855,80131240,80206917,81026677,80229286,80209751
81172754,Crazy people,Moses Inwang,"Ramsey Nouah, Chigul, Sola Sobowale, Ireti Doyle, Ben Touitou, Francis Onwochei, Ememobong Nkana, Emem Inwang, Patrick Onyeke",Nigeria,29-Nov-19,2018,TV-14,107 min,"Comedies, International Movies, Thrillers",Nollywood star Ramsey Nouah learns that someone is impersonating him and breaks out of a mental institution to expose the imposter.,Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABdzz-b1U2T8LypU6d_E-E1oMW3vQqWDRXP0yR3aQWg8ddwc5iKUPwrLjPuUfiUP6YqZ8JiC1pDTePZzIHpxN_DPfBpqF.jpg?r=ac2,80144355,80168167,70266677,81170694,81047798,80097389,60001363,81113888,70278930,80014727
81120982,I Lost My Body,Jérémy Clapin,"Hakim Faris, Victoire Du Bois, Patrick d'Assumçao, Dev Patel, Alia Shawkat, George Wendt",France,29-Nov-19,2019,TV-MA,81 min,"Dramas, Independent Movies, International Movies","Romance, mystery and adventure intertwine as a young man falls in love and a severed hand scours Paris for its owner in this mesmerizing animated film.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABXEVK8aiJ7FC_C9G3AgC7QJFYU8apSH8S7mdfHCGLi61wAZikU_QCfec178WAKocd0mEQ2rPkbnyXxOu99tqLdN5Bh58.jpg?r=308,81025404,80209751,80229286,80211380,81136964,81197050,81165770,70123120,80244855,80208052
81227195,Kalushi: The Story of Solomon Mahlangu,Mandla Dube,"Thabo Rametsi, Thabo Malema, Welile Nzuza, Jafta Mamabolo, Louw Venter, Pearl Thusi",South Africa,29-Nov-19,2016,TV-MA,107 min,"Dramas, International Movies","The life and times of iconic South African liberation fighter Solomon Mahlangu, who battled the forces of apartheid, come into focus.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABSEp8V-jqT1_CFFKEe6riu0JjQ-xaMsXVV9Uqn1YSUyU3qWFRYwqVfE_inFlTjq8Gy1HKr-4POYIW7ClieKLxbYTOFSr.jpg?r=670,60002907,81081656,81017724,80142390,80998890,80133335,81026677,80175802,70021630,81208888
81172899,Payday,Cheta Chukwu,"Baaj Adebule, Ebiye Victor, Meg Otanwa, Bisola Aiyeola, Mawuli Gavor, Zack Orji, Segilola Ogidan",Nigeria,29-Nov-19,2018,TV-MA,110 min,"Comedies, Independent Movies, International Movies","After an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABcXXSHrs0TAhUEb2GNMAR8RVlxp-kpAw7fSUISMdjklZQan6jZ1fnnP7q5QA7vCssY18KSEDM0aFC9oyLpHLOsi5qNFX.jpg?r=a9b,80991025,80198306,70118953,80994423,80245601,81092330,80999990,80214464,81031181,81043345
81172908,The Accidental Spy,Roger Russell,"Ramsey Nouah, Christine Allado, Ayo Makun, Emmanuel Edunjobi, Thenjiwe Moseley, Miguel A. Núñez Jr., Bucci Franklin",Nigeria,29-Nov-19,2017,TV-14,104 min,"Action & Adventure, Comedies, International Movies","Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABb2_ytLOd_xu22Ew3NWh8SIfN7yYyMLpF7N7nMZEtQpY5-pOONKjLCLldvbnBVThjPWU6-mw1bZXCQDwjziSTpBmEpjG.jpg?r=9ef,80013773,81061828,80017171,81025800,81020531,80032473,80084838,80201543,81026095,80232502
81172901,The Island,Toka McBaror,"Sambasa Nzeribe, Segun Arinze, Tokunbo Idowu, Femi Adebayo",Nigeria,29-Nov-19,2018,TV-14,93 min,"Dramas, International Movies, Thrillers","When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.",Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABQtks6YlJ1927b6BkXRTuQVCSIKKrFJZaFQMd_dgDekWSzf-KVK6bB8QiS0qF8Of1dTmEg7tHyp6Q1Ut3yatCV41-0Qs.jpg?r=896,80141156,81074663,81161487,81218079,81017094,80215730,70082255,81016338,80125291,60002907
81033086,Holiday Rush,Leslie Small,"Romany Malco, Sonequa Martin-Green, Darlene Love, Deon Cole, La La Anthony, Deysha Nelson, Amarr M. Wooten, Selena-Marie Alphonse, Andrea-Marie Alphonse",United States,28-Nov-19,2019,TV-PG,94 min,"Children & Family Movies, Dramas",A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.,Movie,https://occ-0-2610-3663.1.nflxso.net/dnm/api/v6/E8vDc_W8CLv7-yMQu8KMEC7Rrr8/AAAABfR2KsiUU8ql9bdP82T0LHucswFPv9n4ycPZX3n53ztorQVOpwk8FEVo72FBKt1i2rgTdayo5G7mLPi4mlOV_0NwDWqy.jpg?r=5e2,70109689,80150350,80204889,80211136,80210147,80178151,80224294,80215923,81048914,80105030
60020826,The Score,Frank Oz,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Gary Farmer, Paul Soles, Jamie Harrold, Serge Houde","Germany, Canada, United States",28-Nov-19,2001,R,124 min,"Dramas, Thrillers","Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.",Movie,https://image.freepik.com/free-vector/404-error-concept-with-face_23-2147737378.jpg,80205440,70242568,70112730,81002336,80238351,80095697,81150918,81168341,81027396,80226927
